experiment,topology,parameter,alpha,seed,canonical_blocks,selfish_blocks,selfish_revenue_share,selfish_relative_revenue,stale_rate
v1_alpha_sweep,complete,,0.450000,43,2989,2093,0.700234,1.556076,0.397986
v1_alpha_sweep,complete,,0.450000,44,3206,2072,0.646288,1.436196,0.362244
v1_alpha_sweep,complete,,0.450000,45,3202,2056,0.642099,1.426886,0.366442
v1_alpha_sweep,complete,,0.450000,46,3193,1993,0.624178,1.387062,0.354558
v1_alpha_sweep,complete,,0.450000,47,3170,2028,0.639748,1.421661,0.370032
v1_alpha_sweep,complete,,0.450000,48,3038,2190,0.720869,1.601931,0.398654
v1_alpha_sweep,complete,,0.450000,49,3197,2023,0.632781,1.406179,0.359190
v1_alpha_sweep,complete,,0.450000,50,3124,2083,0.666773,1.481719,0.375824
v1_alpha_sweep,complete,,0.450000,51,2993,2190,0.731707,1.626016,0.397787
v1_alpha_sweep,complete,,0.450000,52,3139,2085,0.664224,1.476054,0.377306
v1_alpha_sweep,complete,,0.450000,53,3015,2145,0.711443,1.580984,0.397602
v1_alpha_sweep,complete,,0.450000,54,3146,1996,0.634456,1.409903,0.358483
v1_alpha_sweep,complete,,0.450000,55,3196,2052,0.642053,1.426783,0.368005
v1_alpha_sweep,complete,,0.450000,56,3159,1975,0.625198,1.389329,0.358057
v1_alpha_sweep,complete,,0.450000,57,3198,2024,0.632896,1.406435,0.358475
v1_alpha_sweep,complete,,0.450000,58,3165,2031,0.641706,1.426014,0.371025
v1_alpha_sweep,complete,,0.450000,59,3132,2088,0.666667,1.481481,0.365735
v1_alpha_sweep,complete,,0.450000,60,3172,1969,0.620744,1.379431,0.355153
v1_alpha_sweep,complete,,0.450000,61,3254,2020,0.620774,1.379499,0.354749
