topology,parameter,alpha,samples,mean_selfish_revenue_share,mean_relative_revenue,relative_revenue_stderr,mean_stale_rate
complete,,0.050000,20,0.009182,0.183649,0.010128,0.051818
complete,,0.100000,20,0.035073,0.350735,0.008923,0.089877
complete,,0.150000,20,0.077425,0.516165,0.009660,0.123509
complete,,0.200000,20,0.130009,0.650046,0.009649,0.153931
complete,,0.250000,20,0.196256,0.785025,0.009547,0.184837
complete,,0.300000,20,0.277544,0.925147,0.008678,0.218057
complete,,0.350000,20,0.367977,1.051364,0.008183,0.253689
complete,,0.400000,20,0.490730,1.226824,0.010618,0.300713
complete,,0.450000,20,0.656226,1.458281,0.016990,0.371030
